id,youtube_url,video_title,channel,thumbnail_url,confidence
st_20821,https://www.youtube.com/watch?v=acQGuTIsKXI,절.도.있.게 장사 시작을 알리는 [단밤 체조] 이태원 클라쓰(Itaewon class) 3회,JTBC Drama,https://i.ytimg.com/vi/acQGuTIsKXI/hqdefault.jpg,mid
st_20833,https://www.youtube.com/watch?v=mG5jEqFNZ8Y,[맴찢 엔딩] 고백 단호하게 거절한 박서준(Park seo-jun) ＂나 좋아하지 마…＂ 이태원 클라쓰(Itaewon class) 11회,JTBC Drama,https://i.ytimg.com/vi/mG5jEqFNZ8Y/hqdefault.jpg,high
mv_6958_01,https://www.youtube.com/watch?v=Ug_pv5-r1js,"""What It Sounds Like"" Song Clip | KPop Demon Hunters | Netflix Family",Netflix Family,https://i.ytimg.com/vi/Ug_pv5-r1js/hqdefault.jpg,high
mv_6958_02,https://www.youtube.com/watch?v=QChwUPA8bwU,"""Free"" Rumi + Jinu Secret's Duet | Song Clip | KPop Demon Hunters | Netflix Family",Netflix Family,https://i.ytimg.com/vi/QChwUPA8bwU/hqdefault.jpg,high
mv_6958_03,https://www.youtube.com/watch?v=QChwUPA8bwU,"""Free"" Rumi + Jinu Secret's Duet | Song Clip | KPop Demon Hunters | Netflix Family",Netflix Family,https://i.ytimg.com/vi/QChwUPA8bwU/hqdefault.jpg,mid
mv_6958_04,https://www.youtube.com/watch?v=hohuFW0zQUw,HUNTR/X (Huntrix) - 'Golden' Music Video | KPop Demon Hunters | Netflix Philippines,Netflix Philippines,https://i.ytimg.com/vi/hohuFW0zQUw/hqdefault.jpg,mid
mv_6958_05,https://www.youtube.com/watch?v=7kJ24UaDtmQ,Huntrix Show Demons How It's DONE | Song Clip | KPop Demon Hunters | Netflix Family,Netflix Family,https://i.ytimg.com/vi/7kJ24UaDtmQ/hqdefault.jpg,high
mv_6958_06,https://www.youtube.com/watch?v=7kJ24UaDtmQ,Huntrix Show Demons How It's DONE | Song Clip | KPop Demon Hunters | Netflix Family,Netflix Family,https://i.ytimg.com/vi/7kJ24UaDtmQ/hqdefault.jpg,mid
mv_6958_07,https://www.youtube.com/watch?v=7kJ24UaDtmQ,Huntrix Show Demons How It's DONE | Song Clip | KPop Demon Hunters | Netflix Family,Netflix Family,https://i.ytimg.com/vi/7kJ24UaDtmQ/hqdefault.jpg,mid
mv_6958_08,https://www.youtube.com/watch?v=tWWlEOF-Ye4,"Demon Idols Debut ""Soda Pop"" | Song Clip | KPop Demon Hunters | Netflix Family",Netflix Family,https://i.ytimg.com/vi/tWWlEOF-Ye4/hqdefault.jpg,high
mv_6958_09,https://www.youtube.com/watch?v=Ug_pv5-r1js,"""What It Sounds Like"" Song Clip | KPop Demon Hunters | Netflix Family",Netflix Family,https://i.ytimg.com/vi/Ug_pv5-r1js/hqdefault.jpg,high
mv_6958_12,https://www.youtube.com/watch?v=QChwUPA8bwU,"""Free"" Rumi + Jinu Secret's Duet | Song Clip | KPop Demon Hunters | Netflix Family",Netflix Family,https://i.ytimg.com/vi/QChwUPA8bwU/hqdefault.jpg,mid
