title_key,title_표기,category,수집_글수,전체_성지수,언급된_성지수,필터통과_성지수,대표성지_TOP5
트웰브,트웰브,drama,36,47,13,10,회암사지박물관(7) / 반야사(5) / 춘천경찰서(5) / 대진대학교(5) / 배다리사거리(4)
21세기대군부인,21세기 대군부인 / 21세기대군부인,drama,35,98,61,14,아원고택(21) / 무진정(15) / 소양고택(13) / 백제문화단지(13) / 광한루원(10)
도둑들,도둑들,movie,35,4,1,3,부산데파트(1) / 벡스코(0) / 부산디자인진흥원(0) / 자갈치공영주차장(0)
언젠가는슬기로울전공의생활,언젠가는 슬기로울 전공의생활,drama,35,32,6,3,용인세브란스병원(8) / 아니다파르크(2) / 삼거마을 삼성래미안1차(1) / 삼거마을삼성래미안1차아파트(1) / 준오헤어 문정역테라타워점(1)
킹덤,킹덤,drama,35,18,7,7,비둘기낭폭포(한탄강)(14) / 문경새재 오픈세트장(7) / 경복궁(6) / 창덕궁(4) / 창경궁(2)
오징어게임3,오징어게임3,drama,34,9,5,3,서울랜드(6) / 카프리모텔(5) / 다포항(2) / 양양공항(1) / 천안외국인교도소(1)
킬러들의쇼핑몰,킬러들의 쇼핑몰 / 킬러들의쇼핑몰,drama,34,17,8,3,양평버스터미널(4) / 섬강 수변공원(4) / 상관반점(1) / 놀뫼시민장례원(1) / 제천서울병원(1)
힘쎈여자도봉순,힘쎈여자도봉순,drama,34,27,4,3,더화이트베일(3) / 낙산공원(3) / 보라매공원(2) / 대둔산(1) / 508샵(0)
7번방의선물,7번방의 선물,movie,33,2,2,2,익산교도소세트장(21) / 홍제동 개미마을(3)
신과함께인과연,신과함께-인과 연,movie,33,9,2,3,김룡사(2) / 문경새재 오픈세트장(1) / 가은오픈세트장(0) / 대관령 삼양라운드힐(0) / 문경석탄박물관(0)
해적바다로간산적,해적: 바다로 간 산적,movie,31,3,2,3,남양주종합촬영소(4) / 천관산(1) / 고양아쿠아스튜디오(0)
1987,1987,movie,30,8,1,3,연희네 슈퍼(22) / 문화공감수정(0) / 민주인권기념관(0) / 서울특별시청(0) / 연세대학교 신촌캠퍼스(0)
폭군의셰프,폭군의 셰프 / 폭군의셰프,drama,30,16,11,10,고산정(12) / 쁘띠프랑스(10) / 부안영상테마파크(10) / 문경새재 오픈세트장(8) / 고산정 나루터(7)
언더커버미쓰홍,언더커버 미쓰홍 / 언더커버미쓰홍,drama,29,89,44,14,개항로통닭(7) / 다원레스토랑(7) / 국회의사당(7) / 여의도따로국밥(6) / 윤보선길(6)
마이데몬,마이 데몬 / 마이데몬,drama,27,64,23,15,자작도해수욕장(4) / 무릉계곡(3) / 유니버설아트센터(3) / 오크밸리리조트(3) / 청계천(3)
사냥개들2,사냥개들2,drama,27,65,16,7,군산체육관(6) / 인천공항(4) / 구움다방(폐업)(3) / 청라한내로(3) / 충무로(3)
피노키오,피노키오,drama,27,41,1,3,청산도 서편제길(1) / JTBC(0) / KDB산업은행앞(0) / MBC앞(0) / NC백화점(0)
검사외전,검사외전,movie,26,5,1,3,익산 교도소 세트장(2) / 대청마루I(0) / 부산외국어대학교 우암동캠퍼스(구)(0) / 쉐라톤 그랜드 인천 호텔(0) / 잠수교(0)
경이로운소문2,경이로운소문2,drama,26,61,31,6,이케아 고양점(7) / 루하스사우나(3) / 금강랜드(2) / 서정대학교 서정관(2) / 동부빌딩(2)
공조,공조,movie,26,6,1,3,낙산공원(1) / 라한셀렉트 경주(0) / 이태원세계음식거리(0) / 이태원앤틱가구거리(0) / 인터컨티넨탈 서울 코엑스(0)
