place_name,place_address,naver_url,naver_lat,naver_lng,verdict
멍텅구리즉석떡볶이,서울 노원구 공릉로51길 14-2,https://map.naver.com/p/entry/place/13547499,37.6287896,127.0764439,adopt
유니버셜아트센터,서울 광진구 천호대로 664,https://map.naver.com/p/entry/place/18810818,37.5513161,127.0877514,adopt
인하대학교 본관,인천 미추홀구 인하로 100,https://map.naver.com/p/entry/place/16592205,37.4493536,126.654341,adopt
평택중앙시장,경기 평택시 중앙시장로25번길 10-1,https://map.naver.com/p/entry/place/1709426975,37.0796366,127.0520703,adopt
충청남도 관사촌,대전 중구 보문로205번길 35,https://map.naver.com/p/entry/place/16261740,36.3211826,127.4220615,adopt
제민천,충남 공주시 감영길 20,https://map.naver.com/p/entry/place/19467703,36.454994,127.1229053,adopt
배스킨라빈스 전북대,전북 전주시 덕진구 명륜4길 22,https://map.naver.com/p/entry/place/1418232234,35.8436192,127.127315,adopt
신선대,경남 거제시 남부면 갈곶리,https://map.naver.com/p/entry/place/15849214,34.7379442,128.6625034,adopt
부띠끄모나코,서울 서초구 서초동 1316-5,https://map.naver.com/p/entry/place/37609936,37.4973404,127.0242668,adopt
원서공원,서울 종로구 원서동 206-4,https://map.naver.com/p/entry/place/18671803,37.5781749,126.9886124,adopt
금세기빌딩,서울 중구 무교로 6,https://map.naver.com/p/entry/place/18688414,37.5664101,126.9794838,adopt
삼풍상가,서울 중구 인현동2가 120-22,https://map.naver.com/p/entry/place/18702144,37.5656688,126.9955823,adopt
경희대학교 서울캠퍼스,서울 동대문구 경희대로 26,https://map.naver.com/p/entry/place/11591494,37.5964494,127.0525009,adopt
청담나들목,서울 강남구 청담동 139-36,https://map.naver.com/p/entry/place/19459763,37.5217067,127.0621193,adopt
광명역,경기 광명시 광명역로 21,https://map.naver.com/p/entry/place/19685223,37.420017,126.8880026,adopt
국립대전현충원,대전 유성구 현충원로 251,https://map.naver.com/p/entry/place/12382008,36.3673138,127.2972097,adopt
온빛자연휴양림,충남 논산시 벌곡면 황룡재로 480-113,https://map.naver.com/p/entry/place/1540136642,36.2061037,127.251549,adopt
기림사,경북 경주시 문무대왕면 기림로 437-17,https://map.naver.com/p/entry/place/12123342,35.8376728,129.4031154,adopt
반포대교,서울 서초구 반포동 649,https://map.naver.com/p/entry/place/2011720089,37.5117832,126.9979669,adopt
신광사,서울 종로구 종로 176,https://map.naver.com/p/entry/place/20940441,37.57115,127.001017,adopt
자유공원,인천 제물포구 자유공원남로 25,https://map.naver.com/p/entry/place/1724343541,37.475139,126.6229175,adopt
참농,서울 마포구 망원로11길 29,https://map.naver.com/p/entry/place/1523206211,37.5588555,126.9065131,adopt
더리버,서울 용산구 용산동6가 451,https://map.naver.com/p/entry/place/1989625705,37.5071007,126.9846684,adopt
동작대교,서울 용산구 이촌동 357,https://map.naver.com/p/entry/place/18726869,37.510825,126.9819963,adopt
충무로,서울 중구 충무로 39-1,https://map.naver.com/p/entry/place/1948933041,37.5625745,126.9912615,adopt
영동대교,서울 성동구 성수동2가 825,https://map.naver.com/p/entry/place/18827072,37.5302893,127.0573088,adopt
산성대로,경기 성남시 수정구 산성대로 539,https://map.naver.com/p/entry/place/19217967,37.4596561,127.1637256,adopt
청주국제공항,충북 청주시 청원구 내수읍 오창대로 980 5-4,https://map.naver.com/p/entry/place/11576967,36.7219837,127.4959887,adopt
울프강 스테이크하우스 청담점,서울 강남구 선릉로152길 21,https://map.naver.com/p/entry/place/36449091,37.5244206,127.0414091,adopt
아크레도 청담점,서울 강남구 압구정로 410,https://map.naver.com/p/entry/place/1677754795,37.5230216,127.0422013,adopt
BBQ(이대점),서울 서대문구 이화여대5길 35,https://map.naver.com/p/entry/place/1501792671,37.5580309,126.9438185,adopt
제네시스비비큐,서울 송파구 중대로 64,https://map.naver.com/p/entry/place/1145251435,37.4915011,127.1160347,adopt
할머니북어탕,경기 고양시 덕양구 토당로 66-15,https://map.naver.com/p/entry/place/13531508,37.6217251,126.8190884,adopt
엠코헤리츠,경기 성남시 분당구 정자일로 132,https://map.naver.com/p/entry/place/36652649,37.3618698,127.1065977,adopt
모다백화점(부평점),인천 부평구 부평문화로 35,https://map.naver.com/p/entry/place/1880213878,37.4935399,126.7195744,adopt
롯데백화점,인천 미추홀구 연남로 35,https://map.naver.com/p/entry/place/1110340200,37.4423397,126.7013931,adopt
홍예문,인천 제물포구 내동 217-15,https://map.naver.com/p/entry/place/19793161,37.4746811,126.6263001,adopt
송도아울렛,인천 연수구 송도과학로16번길 33-3,https://map.naver.com/p/entry/place/38218972,37.380592,126.6575318,adopt
피자알볼로,서울 강남구 역삼로 148,https://map.naver.com/p/entry/place/1467708077,37.4946303,127.0356117,adopt
한강대교,서울 용산구 양녕로 446,https://map.naver.com/p/entry/place/18726054,37.5175183,126.9588201,adopt
성북천,서울 성북구 보문로36길 16,https://map.naver.com/p/entry/place/19406054,37.5900987,127.0170125,adopt
정릉풍림아이원아파트 125동,서울 성북구 솔샘로25길 28,https://map.naver.com/p/entry/place/1062322496,37.6163768,127.0096858,adopt
평촌한림대성심병원,경기 안양시 동안구 관평로170번길 22,https://map.naver.com/p/entry/place/1600201526,37.3917575,126.9620529,adopt
수원천,경기 수원시 팔달구 북수동 419,https://map.naver.com/p/entry/place/19469939,37.2766313,127.0193479,adopt
수원대학교,경기 화성시 효행구 봉담읍 와우안길 17,https://map.naver.com/p/entry/place/11591593,37.2087424,126.9765718,adopt
아야진해수욕장,강원 고성군 토성면 아야진리,https://map.naver.com/p/entry/place/13491425,38.2758723,128.5533854,adopt
바다민박,강원 강릉시 해안로 710-3,https://map.naver.com/p/entry/place/12910298,37.8184152,128.8913286,adopt
충남대학교 대덕캠퍼스,대전 유성구 대학로 99,https://map.naver.com/p/entry/place/11591645,36.366638,127.3457442,adopt
금강교,충남 공주시 신관동 553,https://map.naver.com/p/entry/place/17695366,36.4677123,127.1252458,adopt
김천실내수영장,경북 김천시 운동장길 1,https://map.naver.com/p/entry/place/1692489680,36.139699,128.086503,adopt
마포진짜원조최대포본점,서울 마포구 마포대로 112-4,https://map.naver.com/p/entry/place/2012527100,37.5476246,126.9430548,adopt
