id,place_name,search_key,naver_url,naver_lat,naver_lng,confidence,matched_name
st_12009,성산로22길,성산로22길,https://map.naver.com/p/entry/place/19683559,37.5599232,126.9336108,mid,성산로22길
st_12014,남산공원길,남산 공원,,,,failed,
st_12019,감고당길 + 윤보선길,감고당길,https://map.naver.com/p/entry/place/13543814,37.5776779,126.9824667,mid,감고당길
st_12022,삼청로2길,삼청로2길,https://map.naver.com/p/entry/place/19684741,37.5807993,126.9809712,mid,삼청로2길
st_12023,북촌로5길,북촌로5길,https://map.naver.com/p/entry/place/18670969,37.5798402,126.9814168,mid,북촌로5길
st_12024,팔판길,팔판길,https://map.naver.com/p/entry/place/18670537,37.5826333,126.98095,mid,팔판길
st_12025,북촌로12길,북촌로12길,https://map.naver.com/p/entry/place/18671103,37.5823112,126.9857541,mid,북촌로12길
st_12026,창덕궁길,창덕궁길,https://map.naver.com/p/entry/place/18671707,37.5786441,126.9891888,mid,창덕궁길
st_12027,볼링장 정류장,볼링장,,,,failed,
st_12029,왕짱구식당,왕짱구식당,,,,failed,
st_14931,왕짱구식당,왕짱구식당,,,,failed,
st_12031,풍년식품 앞,풍년식품,https://map.naver.com/p/entry/place/20829244,37.582897,126.9888839,coord,풍년식품
st_12032,창덕궁로5길,창덕궁5길,https://map.naver.com/p/entry/place/19683643,37.5833232,126.9890492,mid,창덕궁5길
st_12036,윤동주문학관잎,윤동주 문학관,https://map.naver.com/p/entry/place/1615517743,37.5921273,126.9671519,coord,윤동주문학관
st_12037,한양도성 백악구간(와룡공원쪽),한양도성 백악구간,,,,failed,
st_12040,낙산길,낙산 성곽길,,,,failed,
st_12043,삼선교로4길,삼선교로4길,https://map.naver.com/p/entry/place/18897218,37.5837815,127.0072852,mid,삼선교로4길
st_12044,구포국수앞,구포국수,https://map.naver.com/p/entry/place/1151328168,37.5924937,127.0027807,coord,성북동구포국수
st_12045,오동근린공원(월곡산),오동근린공원(성북),,,,failed,
st_12046,삼양로141길(1),삼양로141길,https://map.naver.com/p/entry/place/18617786,37.6503042,127.0129375,mid,삼양로141길
st_12057,마제스티 타바론 티 라운지,마제스티 타바론 티라운지,,,,failed,
st_12058,개포로116길,개포로116길,https://map.naver.com/p/entry/place/18850863,37.4933994,127.0815167,mid,개포로116길
st_12072,일산로636번길,일산로636번길,https://map.naver.com/p/entry/place/19472775,37.6827743,126.7584496,mid,일산로636번길
st_12077,수정부동산,수정부동산,,,,failed,
st_12079,문수골힐링캠핑장,문수골산장캠핑장,,,,failed,
st_12081,더블트리 바이 힐튼 서울 판교 닉스,더블트리 바이 힐튼 서울 판교,https://map.naver.com/p/entry/place/1159062620,37.3805448,127.1040396,coord,더블트리 바이 힐튼 서울 판교
st_12090,설악산소공원,설악산소공원,,,,failed,
st_12095,오송생명로,오송생명로,https://map.naver.com/p/entry/place/19579401,36.6335006,127.3236003,high,오송생명로
st_12100,동부로73번길,동부로73번길,https://map.naver.com/p/entry/place/16246670,36.3237067,127.4600807,mid,동부로73번길
st_12101,문충사옆길,문충사,https://map.naver.com/p/entry/place/16247568,36.324317,127.459875,high,문충사
st_12103,실비식당,실비식당,,,,failed,
st_12105,월미도테마파크,월미테마파크,,,,failed,
st_12170,위드뷰티살롱,위드뷰티살롱청담직영양재점,,,,failed,
st_12175,멍텅구리,멍텅구리 즉석떡볶이,https://map.naver.com/p/entry/place/13547499,37.6287896,127.0764439,mid,멍텅구리즉석떡볶이 공릉점
st_12177,동아디지털미디어센터옆,동아디지털미디어센터,https://map.naver.com/p/entry/place/38514085,37.5784518,126.8928993,coord,빌앤쿡 상암디디엠씨점
st_12179,서부면허시험장,한국도로교통공단 서부운전면허시험장,,,,failed,
st_12182,땡초,땡초곱창,,,,failed,
st_12184,수노래방럭셔리,수노래연습장 홍대 럭셔리점,,,,failed,
st_12187,춘지본가,춘지본가 삼각지점,,,,failed,
st_12191,츄,츄베릅,,,,failed,
st_12194,모모커피마카롱,모모커피&마카롱,,,,failed,
st_12211,감사원버정,감사원,https://map.naver.com/p/entry/place/11583153,37.586936,126.9850141,mid,감사원
st_12216,청계천옆,청계천,,,,failed,
st_12217,경복궁.국립민속박물관맞은편,국립민속박물관,,,,failed,
st_12218,익선동콤콤오락실,새서울 콤콤오락실,https://map.naver.com/p/entry/place/1269075560,37.5728229,126.9898261,coord,새서울 콤콤오락실
st_12220,별궁식당,별궁식당,,,,failed,
st_12231,지리산흑돼지,지리산흑돼지,,,,failed,
st_12234,명동올리브영,올리브영 센트럴 명동 타운,https://map.naver.com/p/entry/place/2053201132,37.5623924,126.9849467,coord,올리브영 센트럴 명동 타운
st_12389,천하,천하일면 망원점,,,,failed,
st_12390,홍대벽화거리,홍대거리,https://map.naver.com/p/entry/place/18781826,37.5531595,126.9218821,mid,홍대거리
st_12392,오두막,펍오두막,,,,failed,
st_12397,아웃백,아웃백스테이크하우스 신촌점,https://map.naver.com/p/entry/place/11849155,37.5591344,126.938844,coord,아웃백스테이크하우스 신촌점
st_12400,작은마을,작은마을,,,,failed,
st_12402,솔티핫티,솔티핫티,,,,failed,
st_12404,일화부동산,일호부동산,,,,failed,
st_12407,명보아트홀 앞 사거리,명보아트홀,https://map.naver.com/p/entry/place/13147379,37.5646356,126.99322,coord,명보아트홀
st_12435,바람의화원 세트장,바람의 화원 드라마 세트장,,,,failed,
st_12437,부여 가림성 느티나무,부여 가림성 느티나무 (성흥산 사랑나무),,,,failed,
st_13171,사이버고시원,현대사이버고시원,,,,failed,
st_13172,대한병원,대한병원,,,,failed,
st_13173,휴먼안경보청기,휴먼안경&휴먼보청기,,,,failed,
st_13175,민지미용실,민지미용실,,,,failed,
st_13176,뽀꼬팡,뽀꼬팡 창동점,,,,failed,
st_13179,씨유쌍문우이천점,CU 쌍문우이천점,https://map.naver.com/p/entry/place/88142583,37.6497765,127.0200528,coord,CU 쌍문우이천점
st_13181,도봉중앙교회,도봉중앙교회,https://map.naver.com/p/entry/place/18001098,37.6625039,127.0325779,mid,중앙교회
st_13182,힐링호프,힐링호프,,,,failed,
st_13183,양재시민의숲역(양재방향4-4),양재시민의숲,,,,failed,
st_13184,빌리엔젤,Billy Angel Cake Company,,,,failed,
st_13187,여의도역5번출구,여의도역,,,,failed,
st_13192,비단길현대시장(호남수산),비단길현대시장,https://map.naver.com/p/entry/place/1016055405,37.4577373,126.9048812,coord,비단길현대시장
st_13193,신도림로11다길,신도림로11다길,https://map.naver.com/p/entry/place/18954619,37.5085947,126.8779095,mid,신도림로11다길
st_13195,보성금형사,보성금형사,,,,failed,
st_13198,가온문화공원 사거리,가온문화공원,https://map.naver.com/p/entry/place/18808738,37.5819667,126.8875874,high,가온문화공원
st_13199,월드컵북로60길,월드컵북로60길,https://map.naver.com/p/entry/place/19685345,37.582112,126.8855518,mid,월드컵북로60길
st_13200,성암로,성암로,https://map.naver.com/p/entry/place/2014375960,37.584738,126.8858564,coord,대한민국고객만족평가원
st_13201,양화로,양화로,,,,failed,
st_13202,연세안경앞,연세안경,https://map.naver.com/p/entry/place/18329314,37.5554603,126.9349094,coord,연세안경원
st_13203,산장앞,산장,,,,failed,
st_13205,이태원로,이태원로,,,,failed,
st_13211,을지로,을지로,,,,failed,
st_13218,종로구,종로구,https://map.naver.com/p/entry/place/17901328,37.5765375,127.0055596,mid,대한민국무공수훈자회 종로구지회
st_13219,필운대로,필운대로,https://map.naver.com/p/entry/place/19468727,37.57855,126.9691,mid,필운대로
st_13222,답십리역1번출구,답십리역,,,,failed,
