title,category,matched_title,year,director,poster_url,status
변호인,movie,변호인,2013,양우석,https://image.tmdb.org/t/p/w500/5tm4Rv24NYdGpuWzA6aF5h1qm0E.jpg,ok
설국열차,movie,설국열차,2013,봉준호,https://image.tmdb.org/t/p/w500/jw66dQvYyXkZNA0bJ7nKvua9jDr.jpg,ok
베를린,movie,베를린,2013,류승완,https://image.tmdb.org/t/p/w500/rz64x2PLYbcvv4rt41HLfjHSyGC.jpg,ok
7번방의 선물,movie,7번방의 선물,2013,이환경,https://image.tmdb.org/t/p/w500/c9TqJPm4pZCuiEXumTayoNIrBSK.jpg,ok
관상,movie,관상,2013,한재림,https://image.tmdb.org/t/p/w500/jtq0Xul1v50s9gvEmbBFk7Tlsa1.jpg,ok
명량,movie,명량,2014,김한민,https://image.tmdb.org/t/p/w500/fl3G8TprVzt4icbYyQKqdPmUfIO.jpg,ok
해적: 바다로 간 산적,movie,해적: 바다로 간 산적,2014,이석훈,https://image.tmdb.org/t/p/w500/yMydhXOFTKPxxFBJiBMKv2JM7sl.jpg,ok
국제시장,movie,국제시장,2014,윤제균,https://image.tmdb.org/t/p/w500/wwaRQFko32TUUDMmDeb37x7O4m3.jpg,ok
수상한 그녀,movie,수상한 그녀,2014,황동혁,https://image.tmdb.org/t/p/w500/tmY4b9sO8KDszQCvPKiKYJSNaqe.jpg,ok
히말라야,movie,히말라야,2015,이석훈,https://image.tmdb.org/t/p/w500/buMqU3V2MimuAWiGhsd2sbH8XNC.jpg,ok
베테랑,movie,베테랑,2015,류승완,https://image.tmdb.org/t/p/w500/8OJ4VtaddbDDwP1ydCitsYxgzCT.jpg,ok
내부자들,movie,내부자들,2015,우민호,https://image.tmdb.org/t/p/w500/zlFp1a9HXpbyDBaNoS1euprLbLs.jpg,ok
암살,movie,암살,2015,최동훈,https://image.tmdb.org/t/p/w500/2gAym5Oig2NM7k6iu0DwXlxYaGY.jpg,ok
밀정,movie,밀정,2016,김지운,https://image.tmdb.org/t/p/w500/3OqkOFlXENLeIMLVBclGejpsaWd.jpg,ok
부산행,movie,부산행,2016,연상호,https://image.tmdb.org/t/p/w500/6XvEZVBFFjybvb1yQd1qfOC6F2S.jpg,ok
인천상륙작전,movie,인천상륙작전,2016,이재한,https://image.tmdb.org/t/p/w500/h44Sm0A0M0KdI4aQnrbBVypeAad.jpg,ok
마스터,movie,마스터,2016,조의석,https://image.tmdb.org/t/p/w500/ebJHlPpLKi4giADhtLhYoV3hV6Q.jpg,ok
럭키,movie,럭키,2016,Lee Kae-byeok,https://image.tmdb.org/t/p/w500/32ZO0IREGvASVhb2XPnlYNgkCtX.jpg,ok
